uf,setor_bndes,porte_do_cliente,ano,mean_valor_contratado_reais,mean_valor_desembolsado_reais,mean_juros,mean_prazo_carencia_meses,mean_prazo_amortizacao_meses,mean_num_empregados,mean_emissao_co2,mean_pib
ES,INDUSTRIA,GRANDE,2006,107915846.8,107739563.4,1.5,29.3,98.0,25365.0,5716187.0,22627303.8
ES,INDUSTRIA,GRANDE,2007,12796200.0,12698749.6,1.9,12.0,57.6,24887.0,8034710.6,23778369.8
ES,INDUSTRIA,GRANDE,2008,159787848.2,139214290.1,2.4,33.0,83.0,27491.0,5938958.2,25887972.1
ES,INDUSTRIA,GRANDE,2009,16252428.6,13167614.7,4.5,26.6,61.7,29853.0,7481569.6,19436757.1
ES,INDUSTRIA,GRANDE,2010,28681085.4,25372041.2,2.5,25.6,52.9,28061.0,8184442.7,26949550.4
ES,INDUSTRIA,GRANDE,2012,21753500.0,17452500.0,4.0,15.0,60.0,32004.0,7620945.3,35017542.5
ES,INDUSTRIA,GRANDE,2013,10600215.4,9693465.4,4.7,11.5,58.0,33060.0,8386841.7,31448377.7
ES,INDUSTRIA,GRANDE,2014,24900000.0,23073000.0,6.0,6.0,60.0,34354.0,8314952.0,31508920.3
ES,INDUSTRIA,GRANDE,2015,6000000.0,1621006.5,0.0,0.0,0.0,34395.0,9745447.9,21403367.3
ES,INDUSTRIA,MÉDIA,2005,3972000.0,3982705.0,3.5,12.0,12.0,,5550614.5,20318169.1
ES,INDUSTRIA,MÉDIA,2018,10000000.0,10016855.0,5.1,12.0,48.0,,10720190.8,
ES,INDUSTRIA,PEQUENA,2012,1650000.0,1650000.0,0.0,0.0,0.0,43383.0,7620945.3,35017542.5
ES,INFRAESTRUTURA,GRANDE,2002,36926395.2,38117625.6,2.8,19.7,69.5,,,
ES,INFRAESTRUTURA,GRANDE,2003,42714463.2,46512713.7,1.0,9.0,24.0,,,
ES,INFRAESTRUTURA,GRANDE,2004,14392336.0,10416459.6,3.5,24.0,72.0,,,
ES,INFRAESTRUTURA,GRANDE,2005,450500000.0,454498869.8,3.4,26.0,42.5,,,
ES,INFRAESTRUTURA,GRANDE,2006,47118766.7,47669224.1,3.7,28.8,128.0,,,
ES,INFRAESTRUTURA,GRANDE,2007,17264532.8,16354120.7,3.0,9.6,76.8,,,
ES,INFRAESTRUTURA,GRANDE,2008,17324244.2,8981869.2,2.6,32.8,104.6,,,
ES,INFRAESTRUTURA,GRANDE,2009,15485816.2,14014336.1,3.1,25.6,119.9,,,
ES,INFRAESTRUTURA,GRANDE,2010,24080447.0,16619414.8,3.2,26.2,96.5,,,
ES,INFRAESTRUTURA,GRANDE,2011,5490110.6,2323209.3,2.2,18.1,72.0,,,
ES,INFRAESTRUTURA,GRANDE,2014,45154000.0,41598786.7,3.0,20.0,73.2,,,
ES,INFRAESTRUTURA,GRANDE,2017,118026000.0,58033666.7,3.0,13.3,50.0,,,
ES,INFRAESTRUTURA,GRANDE,2018,202449296.5,60490758.4,2.3,39.0,195.0,,,
ES,INFRAESTRUTURA,GRANDE,2020,275000000.0,6562429.6,3.8,74.0,214.0,,,
ES,INFRAESTRUTURA,MÉDIA,2002,2594352.5,2596815.7,1.0,16.3,38.7,,,
ES,INFRAESTRUTURA,MÉDIA,2012,7145325.0,7130337.3,2.5,48.0,102.0,,,
ES,INFRAESTRUTURA,MÉDIA,2020,20580500.0,19551475.0,1.6,9.0,192.0,,,
ES,INFRAESTRUTURA,PEQUENA,2006,24098072.0,15984873.5,0.0,0.0,0.0,,,
GO,AGROPECUARIA,GRANDE,2007,6595000.0,6619072.3,2.8,84.0,84.0,3621.0,46136599.5,7301351.4
GO,AGROPECUARIA,GRANDE,2010,4910800.0,4899195.5,3.2,24.0,56.0,9465.0,50456232.7,10376549.3
GO,AGROPECUARIA,GRANDE,2013,31780000.0,31780000.0,3.6,18.0,54.0,8868.0,51670394.1,13081509.4
GO,AGROPECUARIA,GRANDE,2020,10974163.8,3100097.2,2.5,36.0,153.6,,,
GO,AGROPECUARIA,GRANDE,2021,15132000.0,0.0,2.1,36.0,156.0,,,
GO,AGROPECUARIA,MICRO,2009,1500000.0,1500355.7,0.0,0.0,0.0,51638.0,47944083.2,9896009.5
GO,AGROPECUARIA,MICRO,2013,639223.0,639223.0,0.0,0.0,0.0,56771.0,51670394.1,13081509.4
GO,AGROPECUARIA,MÉDIA,2002,5053203.3,5383786.9,4.5,18.0,60.0,,46134784.1,9596387.3
GO,INDUSTRIA,GRANDE,2002,2867666.7,2913552.3,4.3,10.0,52.0,30307.0,269929.7,16598442.4
GO,INDUSTRIA,GRANDE,2003,2418946.5,2305391.1,3.6,6.0,72.0,34220.0,241248.0,16801344.0
GO,INDUSTRIA,GRANDE,2004,13275851.5,13535080.9,6.4,18.0,62.0,41581.0,264102.6,18689254.7
GO,INDUSTRIA,GRANDE,2005,23540731.6,23118240.2,3.1,15.1,59.6,47610.0,292503.8,18868590.2
GO,INDUSTRIA,GRANDE,2006,26098744.6,26014351.2,2.5,23.0,64.6,54859.0,282301.9,19853703.3
GO,INDUSTRIA,GRANDE,2007,33190508.3,29422730.3,2.9,23.5,81.5,63789.0,307413.4,22786206.9
GO,INDUSTRIA,GRANDE,2008,36364318.8,34924436.7,3.7,13.4,79.2,66268.0,382258.4,23446549.1
GO,INDUSTRIA,GRANDE,2009,15981205.4,15480668.2,4.0,35.9,82.2,67378.0,422567.9,24710793.2
GO,INDUSTRIA,GRANDE,2010,19642005.3,15705249.9,4.0,17.8,59.5,76209.0,476771.7,26426091.2
GO,INDUSTRIA,GRANDE,2011,31996928.5,26124805.7,2.8,24.0,69.8,87475.0,501258.5,26143697.5
GO,INDUSTRIA,GRANDE,2012,12136443.7,8361707.9,4.8,24.8,54.0,92252.0,575799.0,27158039.8
GO,INDUSTRIA,GRANDE,2013,27002949.3,13645789.4,3.4,14.2,63.2,100166.0,594164.1,27426391.5
GO,INDUSTRIA,GRANDE,2014,31984364.4,30191058.7,4.4,16.2,60.4,106183.0,582407.9,25688475.3
GO,INDUSTRIA,GRANDE,2015,5845283.0,5825033.8,4.3,10.5,56.9,101990.0,477809.5,25927672.9
GO,INDUSTRIA,GRANDE,2016,18111407.5,16808897.0,3.7,18.0,54.0,94910.0,385236.2,23594273.9
GO,INDUSTRIA,GRANDE,2017,10000000.0,10010457.8,4.6,18.0,42.0,98006.0,535102.8,22690724.7
GO,INDUSTRIA,GRANDE,2018,13548375.0,11556628.1,3.4,27.8,101.2,95267.0,617845.7,
GO,INDUSTRIA,GRANDE,2020,71383714.3,0.0,3.2,37.7,149.1,,,
GO,INDUSTRIA,MÉDIA,2011,5521000.0,5121000.0,2.2,30.0,60.0,,501258.5,26143697.5
GO,INFRAESTRUTURA,GRANDE,2002,56256003.0,55827264.1,2.2,14.2,67.9,,,
GO,INFRAESTRUTURA,GRANDE,2003,36721214.6,37113264.1,3.8,18.4,108.9,,,
GO,INFRAESTRUTURA,GRANDE,2004,8850175.0,8887272.4,4.0,21.0,125.5,,,
GO,INFRAESTRUTURA,GRANDE,2005,39127350.0,39681310.9,3.5,19.0,144.0,,,
GO,INFRAESTRUTURA,GRANDE,2006,37368043.1,37194958.5,3.7,23.8,119.9,,,
GO,INFRAESTRUTURA,GRANDE,2007,58153000.0,56990875.5,2.5,23.0,126.2,,,
GO,INFRAESTRUTURA,GRANDE,2008,155559625.0,147508090.7,2.1,22.6,176.9,,,
GO,INFRAESTRUTURA,GRANDE,2009,141478080.0,141119149.4,2.3,11.4,155.0,,,
GO,INFRAESTRUTURA,GRANDE,2010,38374551.5,35468750.0,2.6,4.0,121.2,,,
GO,INFRAESTRUTURA,GRANDE,2011,4171176.5,3082506.3,2.3,23.8,119.9,,,
GO,INFRAESTRUTURA,GRANDE,2012,24583333.3,24583333.3,2.4,6.7,184.0,,,
GO,INFRAESTRUTURA,GRANDE,2013,8088000.0,7970000.0,2.8,2.0,139.0,,,
GO,INFRAESTRUTURA,GRANDE,2014,10347250.0,9517770.8,4.1,20.5,123.0,,,
GO,INFRAESTRUTURA,GRANDE,2015,24739000.0,24789683.3,3.4,27.0,240.0,,,
GO,INFRAESTRUTURA,GRANDE,2016,33283250.0,33302942.0,2.2,16.0,198.0,,,
GO,INFRAESTRUTURA,GRANDE,2018,6892533.3,3302085.2,1.3,34.0,12.0,,,
GO,INFRAESTRUTURA,GRANDE,2021,6671293.5,0.0,2.4,36.0,132.0,,,
GO,INFRAESTRUTURA,MÉDIA,2002,11100121.4,11383688.7,4.0,17.0,116.0,,,
GO,INFRAESTRUTURA,MÉDIA,2004,174798.8,195591.5,1.0,3.0,24.0,,,
GO,INFRAESTRUTURA,MÉDIA,2006,7000000.0,7028437.8,2.8,30.0,78.0,,,
GO,INFRAESTRUTURA,MÉDIA,2007,78993000.0,79085017.2,2.2,24.0,156.0,,,
GO,INFRAESTRUTURA,MÉDIA,2008,100815000.0,100967335.6,2.4,33.0,192.0,,,
