ano,uf,setor,porte_do_cliente,num_empregados
2012,MG,INDUSTRIA,MICRO,183510
2012,ES,INDUSTRIA,MICRO,36206
2012,RJ,INDUSTRIA,MICRO,85137
2012,SP,INDUSTRIA,MICRO,442510
2012,PR,INDUSTRIA,MICRO,138676
2012,SC,INDUSTRIA,MICRO,142287
2012,RS,INDUSTRIA,MICRO,154771
2012,MS,INDUSTRIA,MICRO,13984
2012,MT,INDUSTRIA,MICRO,28295
2012,GO,INDUSTRIA,MICRO,56090
2012,DF,INDUSTRIA,MICRO,11587
2011,RO,INDUSTRIA,MICRO,10593
2011,AC,INDUSTRIA,MICRO,2223
2011,AM,INDUSTRIA,MICRO,8188
2011,RR,INDUSTRIA,MICRO,1130
2011,PA,INDUSTRIA,MICRO,18029
2011,AP,INDUSTRIA,MICRO,1733
2011,TO,INDUSTRIA,MICRO,5184
2011,MA,INDUSTRIA,MICRO,9247
2011,PI,INDUSTRIA,MICRO,10222
2011,CE,INDUSTRIA,MICRO,42624
2011,RN,INDUSTRIA,MICRO,14723
2011,PB,INDUSTRIA,MICRO,14082
2011,PE,INDUSTRIA,MICRO,41479
2011,AL,INDUSTRIA,MICRO,7003
2011,SE,INDUSTRIA,MICRO,8345
2011,BA,INDUSTRIA,MICRO,44275
2011,MG,INDUSTRIA,MICRO,180083
2011,ES,INDUSTRIA,MICRO,35317
2011,RJ,INDUSTRIA,MICRO,83065
2011,SP,INDUSTRIA,MICRO,435727
2011,PR,INDUSTRIA,MICRO,133826
2011,SC,INDUSTRIA,MICRO,138196
2011,RS,INDUSTRIA,MICRO,151275
2011,MS,INDUSTRIA,MICRO,13506
2011,MT,INDUSTRIA,MICRO,27316
2011,GO,INDUSTRIA,MICRO,53190
2011,DF,INDUSTRIA,MICRO,11291
2010,RO,INDUSTRIA,MICRO,9843
2010,AC,INDUSTRIA,MICRO,2200
2010,AM,INDUSTRIA,MICRO,8013
2010,RR,INDUSTRIA,MICRO,1027
2010,PA,INDUSTRIA,MICRO,16900
2010,AP,INDUSTRIA,MICRO,1452
2010,TO,INDUSTRIA,MICRO,4768
2010,MA,INDUSTRIA,MICRO,8775
2010,PI,INDUSTRIA,MICRO,9634
2010,CE,INDUSTRIA,MICRO,40918
2010,RN,INDUSTRIA,MICRO,14362
2010,PB,INDUSTRIA,MICRO,13483
2010,PE,INDUSTRIA,MICRO,38994
2010,AL,INDUSTRIA,MICRO,6534
2010,SE,INDUSTRIA,MICRO,7772
2010,BA,INDUSTRIA,MICRO,41729
2010,MG,INDUSTRIA,MICRO,175431
2010,ES,INDUSTRIA,MICRO,33714
2010,RJ,INDUSTRIA,MICRO,80999
2010,SP,INDUSTRIA,MICRO,423369
2010,PR,INDUSTRIA,MICRO,128347
2010,SC,INDUSTRIA,MICRO,135889
2010,RS,INDUSTRIA,MICRO,146542
2010,MS,INDUSTRIA,MICRO,12853
2010,MT,INDUSTRIA,MICRO,25291
2010,GO,INDUSTRIA,MICRO,49660
2010,DF,INDUSTRIA,MICRO,10894
2009,RO,INDUSTRIA,MICRO,9922
2009,AC,INDUSTRIA,MICRO,1956
2009,AM,INDUSTRIA,MICRO,8027
2009,RR,INDUSTRIA,MICRO,1055
2009,PA,INDUSTRIA,MICRO,16722
2009,AP,INDUSTRIA,MICRO,1648
