uf,ano,setor,pib
PR,2014,AGROPECUARIA,21097515653.0
RJ,2014,AGROPECUARIA,2095977611.0
RN,2014,AGROPECUARIA,1136584295.0
RO,2014,AGROPECUARIA,2853000140.0
RR,2014,AGROPECUARIA,285119552.0
RS,2014,AGROPECUARIA,21322311893.0
SC,2014,AGROPECUARIA,9351114043.0
SE,2014,AGROPECUARIA,1299653522.0
SP,2014,AGROPECUARIA,20164561986.0
TO,2014,AGROPECUARIA,2440644658.0
AC,2015,AGROPECUARIA,923403609.0
AL,2015,AGROPECUARIA,3337332118.0
AM,2015,AGROPECUARIA,3973129443.0
AP,2015,AGROPECUARIA,184748527.0
BA,2015,AGROPECUARIA,12244426824.0
CE,2015,AGROPECUARIA,3537662643.0
DF,2015,AGROPECUARIA,429781843.0
ES,2015,AGROPECUARIA,2592745975.0
GO,2015,AGROPECUARIA,11046294945.0
MA,2015,AGROPECUARIA,4966697933.0
MG,2015,AGROPECUARIA,16759850623.0
MS,2015,AGROPECUARIA,9357402434.0
MT,2015,AGROPECUARIA,13251715996.0
PA,2015,AGROPECUARIA,9944025629.0
PB,2015,AGROPECUARIA,1309674015.0
PE,2015,AGROPECUARIA,3581130226.0
PI,2015,AGROPECUARIA,1875505854.0
PR,2015,AGROPECUARIA,20160746865.0
RJ,2015,AGROPECUARIA,2066742512.0
RN,2015,AGROPECUARIA,1123763174.0
RO,2015,AGROPECUARIA,2985546023.0
RR,2015,AGROPECUARIA,354093938.0
RS,2015,AGROPECUARIA,21445746577.0
SC,2015,AGROPECUARIA,8562589206.0
SE,2015,AGROPECUARIA,1188161378.0
SP,2015,AGROPECUARIA,18052265275.0
TO,2015,AGROPECUARIA,2342335262.0
AC,2016,AGROPECUARIA,924750434.0
AL,2016,AGROPECUARIA,4283423937.0
AM,2016,AGROPECUARIA,3730173812.0
AP,2016,AGROPECUARIA,183645731.0
BA,2016,AGROPECUARIA,10488786587.0
CE,2016,AGROPECUARIA,3628913240.0
DF,2016,AGROPECUARIA,520673712.0
ES,2016,AGROPECUARIA,2707968806.0
GO,2016,AGROPECUARIA,12514946185.0
MA,2016,AGROPECUARIA,3836792868.0
MG,2016,AGROPECUARIA,21071580186.0
MS,2016,AGROPECUARIA,10099994564.0
MT,2016,AGROPECUARIA,15912373192.0
PA,2016,AGROPECUARIA,10891093382.0
PB,2016,AGROPECUARIA,1377088214.0
PE,2016,AGROPECUARIA,3927318224.0
PI,2016,AGROPECUARIA,1185227345.0
PR,2016,AGROPECUARIA,21994377573.0
RJ,2016,AGROPECUARIA,1952051522.0
RN,2016,AGROPECUARIA,1183829164.0
RO,2016,AGROPECUARIA,3117723495.0
RR,2016,AGROPECUARIA,357728635.0
RS,2016,AGROPECUARIA,23008820548.0
SC,2016,AGROPECUARIA,9518734552.0
SE,2016,AGROPECUARIA,1094432996.0
SP,2016,AGROPECUARIA,22728496089.0
TO,2016,AGROPECUARIA,2296113269.0
AC,2017,AGROPECUARIA,821578329.0
AL,2017,AGROPECUARIA,5198739735.0
AM,2017,AGROPECUARIA,3430336421.0
AP,2017,AGROPECUARIA,190308652.0
BA,2017,AGROPECUARIA,9687917571.0
CE,2017,AGROPECUARIA,4583313238.0
DF,2017,AGROPECUARIA,507026524.0
ES,2017,AGROPECUARIA,2746834025.0
GO,2017,AGROPECUARIA,11889196380.0
MA,2017,AGROPECUARIA,4596192542.0
MG,2017,AGROPECUARIA,17574856218.0
MS,2017,AGROPECUARIA,9303890093.0
MT,2017,AGROPECUARIA,13790516818.0
PA,2017,AGROPECUARIA,10248819696.0
PB,2017,AGROPECUARIA,1319859693.0
PE,2017,AGROPECUARIA,3694986780.0
PI,2017,AGROPECUARIA,2320925725.0
PR,2017,AGROPECUARIA,21090136166.0
RJ,2017,AGROPECUARIA,1791069677.0
RN,2017,AGROPECUARIA,1322524759.0
RO,2017,AGROPECUARIA,3597291344.0
RR,2017,AGROPECUARIA,372865672.0
RS,2017,AGROPECUARIA,20574683686.0
SC,2017,AGROPECUARIA,8699561263.0
SE,2017,AGROPECUARIA,1203632293.0
SP,2017,AGROPECUARIA,22351283548.0
TO,2017,AGROPECUARIA,2545960831.0
AC,2002,INDUSTRIA,674487984.0
AL,2002,INDUSTRIA,4119723174.0
AM,2002,INDUSTRIA,14761990752.0
AP,2002,INDUSTRIA,611843857.0
BA,2002,INDUSTRIA,22508051979.0
CE,2002,INDUSTRIA,10774651871.0
DF,2002,INDUSTRIA,7769858713.0
ES,2002,INDUSTRIA,15509870489.0
GO,2002,INDUSTRIA,16598442379.0
MA,2002,INDUSTRIA,5190489068.0
MG,2002,INDUSTRIA,57545157605.0
MS,2002,INDUSTRIA,4586574574.0
MT,2002,INDUSTRIA,5784375666.0
PA,2002,INDUSTRIA,11641196798.0
PB,2002,INDUSTRIA,4225566962.0
PE,2002,INDUSTRIA,13521923017.0
PI,2002,INDUSTRIA,1767372744.0
PR,2002,INDUSTRIA,44279294645.0
RJ,2002,INDUSTRIA,82112316948.0
RN,2002,INDUSTRIA,6807373952.0
RO,2002,INDUSTRIA,2262769029.0
RR,2002,INDUSTRIA,634943036.0
RS,2002,INDUSTRIA,42638302578.0
SC,2002,INDUSTRIA,28038724986.0
SE,2002,INDUSTRIA,5657862259.0
SP,2002,INDUSTRIA,224570265520.0
TO,2002,INDUSTRIA,1645814549.0
AC,2003,INDUSTRIA,491376419.0
AL,2003,INDUSTRIA,4224685094.0
AM,2003,INDUSTRIA,15839094373.0
AP,2003,INDUSTRIA,644374664.0
BA,2003,INDUSTRIA,23341294693.0
CE,2003,INDUSTRIA,10144264905.0
DF,2003,INDUSTRIA,6038624794.0
ES,2003,INDUSTRIA,15500106258.0
GO,2003,INDUSTRIA,16801344045.0
MA,2003,INDUSTRIA,5981413649.0
MG,2003,INDUSTRIA,61973851918.0
MS,2003,INDUSTRIA,5294267452.0
MT,2003,INDUSTRIA,6017620787.0
PA,2003,INDUSTRIA,11522502421.0
PB,2003,INDUSTRIA,4532858040.0
