setor,uf,ano,emissao_co2
INDUSTRIA,PI,2000,0.0
INDUSTRIA,PI,2001,47328.8
INDUSTRIA,PI,2002,113255.0
INDUSTRIA,PI,2003,113353.0
INDUSTRIA,PI,2004,104755.8
INDUSTRIA,PI,2005,153110.4
INDUSTRIA,PI,2006,126777.9
INDUSTRIA,PI,2007,151859.3
INDUSTRIA,PI,2008,182045.1
INDUSTRIA,PI,2009,216248.8
INDUSTRIA,PI,2010,225782.4
INDUSTRIA,PI,2011,219300.6
INDUSTRIA,PI,2012,235865.1
INDUSTRIA,PI,2013,232935.4
INDUSTRIA,PI,2014,259132.1
INDUSTRIA,PI,2015,259392.2
INDUSTRIA,PI,2016,234227.8
INDUSTRIA,PI,2017,114786.1
INDUSTRIA,PI,2018,0.0
INDUSTRIA,PR,2000,2009287.4
INDUSTRIA,PR,2001,1977055.1
INDUSTRIA,PR,2002,1976606.2
INDUSTRIA,PR,2003,1939381.0
INDUSTRIA,PR,2004,2028647.7
INDUSTRIA,PR,2005,2458402.7
INDUSTRIA,PR,2006,2414652.4
INDUSTRIA,PR,2007,2636198.5
INDUSTRIA,PR,2008,2872085.4
INDUSTRIA,PR,2009,2791562.5
INDUSTRIA,PR,2010,3032622.8
INDUSTRIA,PR,2011,3156026.1
INDUSTRIA,PR,2012,3043328.3
INDUSTRIA,PR,2013,3246688.5
INDUSTRIA,PR,2014,3297438.8
INDUSTRIA,PR,2015,3242871.3
INDUSTRIA,PR,2016,3345180.6
INDUSTRIA,PR,2017,3181491.0
INDUSTRIA,PR,2018,3246023.0
INDUSTRIA,RJ,2000,7955076.3
INDUSTRIA,RJ,2001,7017644.9
INDUSTRIA,RJ,2002,6919108.9
INDUSTRIA,RJ,2003,7706505.1
INDUSTRIA,RJ,2004,8002538.1
INDUSTRIA,RJ,2005,7203020.5
INDUSTRIA,RJ,2006,6779005.6
INDUSTRIA,RJ,2007,6871822.0
INDUSTRIA,RJ,2008,7683587.0
INDUSTRIA,RJ,2009,6733217.9
INDUSTRIA,RJ,2010,9823782.1
INDUSTRIA,RJ,2011,14298352.6
INDUSTRIA,RJ,2012,13986188.7
INDUSTRIA,RJ,2013,13734085.4
INDUSTRIA,RJ,2014,7257200.5
INDUSTRIA,RJ,2015,7117661.1
INDUSTRIA,RJ,2016,6135731.5
INDUSTRIA,RJ,2017,6295290.3
INDUSTRIA,RJ,2018,6552622.6
INDUSTRIA,RN,2000,142877.6
INDUSTRIA,RN,2001,137145.9
INDUSTRIA,RN,2002,124960.9
INDUSTRIA,RN,2003,123047.7
INDUSTRIA,RN,2004,123198.7
INDUSTRIA,RN,2005,135315.5
INDUSTRIA,RN,2006,139308.3
INDUSTRIA,RN,2007,161835.4
INDUSTRIA,RN,2008,163513.6
INDUSTRIA,RN,2009,169542.0
INDUSTRIA,RN,2010,166726.1
INDUSTRIA,RN,2011,236945.4
INDUSTRIA,RN,2012,465608.6
INDUSTRIA,RN,2013,556107.7
INDUSTRIA,RN,2014,696155.9
INDUSTRIA,RN,2015,716846.8
INDUSTRIA,RN,2016,545755.3
INDUSTRIA,RN,2017,420357.4
INDUSTRIA,RN,2018,360495.1
