ALTO JAURU ENERGETICA S/A,"12 processos no JFMT, TRT23, TJMT, TJPE e TRF1, 1 processo no JFMT"
COMPANHIA PIRATININGA DE FORCA E LUZ,"15.694 processos no TJSP, TJSPCR, STJ, TRT15 e TRT2, 11.748 processos no TJSP, TRT15, TJSPCR, TRT2 e STJ, 11.446 processos no TJSP, TJSPCR, STJ, TRT15 e TRT2, 3.362 processos no TJSP, TJSPCR e STJ, 179 processos no TRT15, TJSP, TRT2, TJSPCR e TST, 174 processos no TJSP e TJSPCR"
BANCO DO BRASIL SA,"1.932.932 processos no TJSP, TJRS, TJMG, TJRJ e TJSC, 779.341 processos no TJSP, TJRJ, TJRS, TJMG e TJPR, 589.393 processos no TJSP, TJMG, STJ, TJBA e TJMA, 232.637 processos no TJSP, TJRS, TJRJ, TJPR e TJMG, 152.189 processos no TJBA, TJCE, TJPE, TJPI e TJRN, 67.226 processos no TJSP, TJMG, TJRJ, TJBA e TJRN"
PIRELLI PNEUS LTDA.,"8.740 processos no TRT15, TRT5, TRT04, TRT4 e TRT2, 168 processos no TJSP, TJRJ, TJMG, TJBA e TJRS, 14 processos no TRT02, TJSP, TRF3, TRT2 e TJBA, 13 processos no TJSP, 9 processos no TRT2 e TRT02, 8 processos no TRT4, TST, TRT04 e TRT15"
COMPANHIA SUL PAULISTA DE ENERGIA,"600 processos no TJSP, TRT15, STJ, TRF3 e TRF1, 96 processos no TJSP, TJSPCR e STJ, 77 processos no TJSP e STJ, 47 processos no TJSP e STJ, 27 processos no TJSP, STJ e TJSPCR, 13 processos no TJSP e STJ"
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A,"15.779 processos no TJPA, TRT08, TST, TJRJ e TRT8, 2.941 processos no TJPA, TRT08, TST, TRF01 e TJMA, 304 processos no TJPA, 250 processos no TJPA, 161 processos no TJPA, 128 processos no TJPA"
COMPANHIA BRASILEIRA DE OFFSHORE,"136 processos no TJRJ, TRT1, TRF2, TRT01 e TRF2-RJ, 13 processos no TRT1, TRT01, TJRJ e STJ, 6 processos no TJRJ e TRT1, 1 processo no TRF02, 1 processo no TST"
REDE ENERGIA PARTICIPACOES S.A.,"7 processos no TJSP, STJ, TRF3 e TRT02, 3 processos no TJSP, 2 processos no TRF1"
WHITE MARTINS GASES INDUSTRIAIS LTDA,"8.086 processos no TJSP, TJRJ, TJRS, TJMG e TRT1, 829 processos no TJBA, TJPE, TRT06, TRT05 e TRT6, 631 processos no TJMA, TJPA, TJAM, TRT11 e TRT8, 15 processos no TRF1, TRT21, TRT07, TRT7 e TJCE, 13 processos no TJMG, 13 processos no TJAL, TRT6 e TJBA"
VOTORANTIM METAIS S.A.,"1.647 processos no TRT3, TJMG, TRT03, TJSP e TST, 1.525 processos no TRT18, TRT3, TRT2, TJSP e TRT03, 259 processos no TRT18 e TST, 212 processos no TRT2, TJPE, TRT18, TRT3 e TRF3, 129 processos no TRF1, TRT3, TRF01, TJPA e TRT03, 26 processos no TRF1, TRT2, TJSP, TJGOPJD e JFMG"
BRASKEM S.A.,"10.790 processos no TJRS, TRT04, TJAL, TRT05 e TJSP, 799 processos no JFBA, TRF01, TRF1, TJSP e TJBA, 315 processos no TRT02, TJSP, TRT2, TRT01 e TST, 168 processos no TRT01, TJRJ, TRT02, TJSP e TRT05, 52 processos no TJSP, TRT02, JFSP, JFDF e TRF01, 38 processos no TRT19"
LIGHT SERVICOS DE ELETRICIDADE S A,"404.965 processos no TJRJ, TRT1, TRT01, TJSP e STJ, 1.747 processos no TJRJ, TJSP, TRF2, TRF2-RJ e STJ, 970 processos no TJRJ, TRT1, TJSP, STJ e TRF2, 870 processos no TJRJ, 649 processos no TJRJ, 434 processos no TJRJ e TJSP"
SECRETARIA MUNICIPAL DA FAZENDA,"250 processos no TJRJ, TJSP, TJRS, TRT02 e TRT1, 37 processos no TJSP, TRT02, TRT2 e TRT1, 33 processos no TJSP e TRF3, 32 processos no TJSP, TJRS, TJGO, TJBA e TJRJ, 29 processos no TJMG, 29 processos no TJRJ, TRT1, TRT01 e TJMG"
