Sigla,Código,Estado,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MG,31,Minas Gerais,57545157.6048537,61973851.9176238,74698031.9292309,74847851.6159467,75592049.7389311,81393538.7341189,88868976.1772273,81142352.1479887,101270554.352832,107045162.484334,102743416.583342,104353888.210465,96560413.49274,81815441.863022,75131251.5268399,78581752.6674516
MS,50,Mato Grosso do Sul,4586574.57388275,5294267.45177546,5978078.48898444,5368120.05226942,5936794.73716069,5405654.80725464,6173033.08154205,6736255.13257163,9380762.95523246,10105946.7562714,10535261.9605936,10767659.1887012,11227592.5858088,11230216.409448,11849122.1397648,11680463.9922023
MT,51,Mato Grosso,5784375.66587137,6017620.78667952,8466274.15235513,7477625.41727407,5971476.10089161,6551433.01333249,7552200.50384916,7730181.66374163,9770833.41225327,10155088.1604458,9463081.82065843,10999562.4699161,11673493.2058368,11743732.3008714,11626777.9175448,10424911.2092995
PA,15,Pará,11641196.7976366,11522502.4208542,14984661.7640526,14531505.519442,15322574.826343,15120116.744006,19807313.1883304,13792461.4614198,26792382.3342807,31976110.3401168,27786102.1618099,29141573.353594,24573501.9133895,22758900.3997037,20001808.8906158,26797643.5088903
PB,25,Paraíba,4225566.96235037,4532858.03977962,4407795.39240799,4132270.48434255,4548441.56493037,4515161.01234512,4848276.11609866,5205030.7144484,5436505.2653814,5692013.64352207,6235259.49326186,5834029.99375246,5789939.66692583,5902639.52575134,5215443.89806254,5161631.9125401
PE,26,Pernambuco,13521923.0166109,11451098.1761082,13532418.399665,12671027.9812964,12201026.4676299,12901224.4101736,13411199.8924628,14603842.2880974,18191729.7397082,18650089.81153,20423231.5035746,20685649.5357521,18290896.5422048,18444717.5233336,18000503.1629139,19944762.1711971
PI,22,Piauí,1767372.74437004,1497960.98233626,1720184.2144427,1957747.0393317,3303562.06221127,2079548.67228769,1867142.78806992,2397406.32040424,3202753.45077595,3491031.23213722,3315112.82012751,2730605.48881015,3985181.13118395,3258892.60410185,2977902.54414689,3009604.2848978
PR,41,Paraná,44279294.6454417,47124825.1500041,51691036.3066826,48671949.2199269,47812348.6574315,52386128.6558539,51872208.1793979,52548657.5617618,54221390.9999778,57243065.2690425,55567180.0798037,59664365.2210136,55885531.7776617,56975846.9250727,57291251.7310027,56791169.3457841
RJ,33,Rio de Janeiro,82112316.9480831,83084477.9620053,93779870.820786,107168055.644455,119486767.663067,111489640.705649,126000382.158551,101009503.370191,113193367.843824,125129839.379882,136113379.192529,129475941.103564,126647707.226788,90029847.7179801,62675982.8808541,64028967.7091678
RN,24,Rio Grande do Norte,6807373.95169491,5544196.37263378,6376600.00635784,7329615.51366488,7534996.51489903,8460481.53084219,8479055.1660715,6318817.04700006,7683076.0840894,8268156.0685823,8776455.89449768,8541647.0694713,7789616.07651219,7366695.73101983,6404892.85551215,6543002.73230118
RO,11,Rondônia,2262769.02880903,2025786.34411116,2588308.79736699,2715653.05661277,2978170.44713579,2784534.31497276,2866780.68532849,3485798.04758434,4779253.9464517,5465930.54788824,4751124.91847785,4248987.96568649,4020184.96409082,4141603.62513472,4169585.31570638,5012221.68444816
RR,14,Roraima,634943.035938428,375208.961649034,436101.068034167,443992.111289882,648344.167333993,453692.137579015,513490.086621096,618434.582258709,818733.16429131,753113.068848317,652158.089568935,858160.98021632,745080.763958977,617303.263496738,553484.343675423,587550.078388992
