cnpj,uf,produto,fonte_de_recurso_desembolsos,setor_bndes,natureza_do_cliente,tipo_de_garantia,valor_desembolsado_ajustado,processos,prazo_amortizacao_meses,cluster
19.353.878/0001-39,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,61751950.0,3.0,192.0,1
19.354.626/0001-24,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,59234579.0,2.0,192.0,1
19.368.924/0001-73,SP,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,693279494.0,936.0,1.0,0
19.389.560/0001-08,SP,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,38451088.0,16.0,168.0,1
19.521.322/0001-04,MT,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,484955598.0,1.0,1.0,2
19.527.586/0001-75,MT,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,702057967.0,731.0,240.0,0
19.527.639/0001-58,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,89358966.0,5256.0,48.35294117647059,0
19.537.471/0001-61,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,56799391.0,771.0,112.0,0
19.560.109/0001-01,BA,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,18672305.0,4.0,192.0,1
19.560.837/0001-13,RN,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,174460570.0,3.0,190.28571428571428,1
19.642.306/0001-70,MS,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,931951767.0,1610.0,173.5,0
19.660.985/0001-00,RS,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,PESSOAL,148417634.0,17.0,115.6,1
19.660.995/0001-45,RS,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,PESSOAL,126088346.0,17.0,115.6,1
19.661.000/0001-60,RS,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,PESSOAL,151313130.0,16.0,126.33333333333333,1
19.661.005/0001-93,RS,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,PESSOAL,42330928.0,16.0,115.6,1
19.674.909/0001-53,MG,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,574255460.0,519.0,81.0,0
19.688.648/0001-20,ES,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,61492153.0,35.0,198.0,1
19.694.110/0001-29,PE,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,47654065.0,6.0,192.0,1
19.694.146/0001-02,PE,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,47654065.0,14.0,192.0,1
19.699.063/0001-06,SP,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,REAL / PESSOAL,704877979.0,1155.0,168.0,0
19.724.929/0001-91,PI,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,47293572.0,14.0,1.0,2
