uf,setor_bndes,porte_do_cliente,ano,valor_contratado_reais,valor_desembolsado_reais,valor_contratado_ajustado,valor_desembolsado_ajustado,media_juros,media_prazo_carencia_meses,media_prazo_amortizacao_meses,num_empregados
CE,INFRAESTRUTURA,GRANDE,2016,827685000.0,803880687.3,573693934.0,557403858.0,1.92,11.6,191.0,
CE,INFRAESTRUTURA,GRANDE,2017,791225000.0,791060223.1,537261312.0,537149429.0,2.43,3.7,190.9,
CE,INFRAESTRUTURA,GRANDE,2019,205226572.0,152636269.0,123803743.0,91889835.0,2.02,3.4,161.4,
CE,INFRAESTRUTURA,MEDIA,2015,656922000.0,656731199.4,489017481.0,488874897.0,2.86,16.2,174.0,
CE,INFRAESTRUTURA,MEDIA,2018,26800000.0,26818636.4,17660157.0,17672729.0,3.0,18.0,42.0,
CE,INFRAESTRUTURA,MICRO,2012,191567800.0,191567799.9,169059940.0,169059940.0,2.4,21.0,1.0,
CE,INFRAESTRUTURA,MICRO,2014,252708800.0,250728062.3,207127510.0,205504040.0,2.02,1.2,192.0,
DF,AGROPECUARIA,GRANDE,2010,30000000.0,30000000.0,32494407.0,32494407.0,5.54,12.0,24.0,645.0
DF,INDUSTRIA,GRANDE,2005,25000000.0,25164732.9,33877799.0,34101031.0,9.0,12.0,12.0,14964.0
DF,INDUSTRIA,GRANDE,2018,34909000.0,20000000.0,22402840.0,12834994.0,1.55,24.0,1.0,15157.0
DF,INFRAESTRUTURA,GRANDE,2002,310334000.0,300747069.0,535252455.0,518717274.0,6.5,0.0,62.6,
DF,INFRAESTRUTURA,GRANDE,2004,1885585592.1,1850161376.9,2678093199.0,2627715004.0,4.28,16.7,107.3,
DF,INFRAESTRUTURA,GRANDE,2006,1954335625.0,1962156022.3,2537994054.0,2548149998.0,3.97,30.0,60.0,
DF,INFRAESTRUTURA,GRANDE,2009,260318000.0,257304983.2,289637367.0,286284997.0,1.9,30.0,162.0,
DF,INFRAESTRUTURA,GRANDE,2013,799152640.6,795375217.3,702881639.0,699559268.0,2.08,12.0,57.8,
DF,INFRAESTRUTURA,GRANDE,2014,680327375.8,875950064.2,563465948.0,725682633.0,4.85,19.7,114.0,
DF,INFRAESTRUTURA,GRANDE,2017,150000000.0,150000000.0,102674205.0,102674205.0,3.14,26.0,166.0,
ES,AGROPECUARIA,MEDIA,2010,6176000.0,6101862.4,6505568.0,6427475.0,4.1,22.5,67.5,1870.0
ES,INDUSTRIA,GRANDE,2003,121234541.2,123331593.9,187453979.0,190696462.0,4.08,14.3,64.0,19352.0
ES,INDUSTRIA,GRANDE,2005,76287288.4,76473547.9,102560709.0,102811115.0,4.1,43.4,31.4,23773.0
ES,INDUSTRIA,GRANDE,2006,971242621.5,969656070.8,1261302290.0,1259241920.0,1.53,29.3,98.0,25365.0
ES,INDUSTRIA,GRANDE,2007,63981000.0,63493747.8,80262236.0,79652050.0,1.9,12.0,57.6,24887.0
ES,INDUSTRIA,GRANDE,2008,958727089.3,835285740.4,1049648369.0,914592151.0,2.41,33.0,83.0,27491.0
ES,INDUSTRIA,GRANDE,2009,113767000.0,92173302.5,126452052.0,102450652.0,4.5,26.6,61.7,29853.0
ES,INDUSTRIA,GRANDE,2010,315491939.0,279092452.7,336005991.0,297352067.0,2.48,25.6,52.9,28061.0
ES,INDUSTRIA,GRANDE,2012,43507000.0,34905000.0,39149260.0,31359991.0,4.0,15.0,60.0,32004.0
ES,INDUSTRIA,GRANDE,2013,127202585.0,116321584.9,109050379.0,99637027.0,4.74,11.5,58.0,33060.0
ES,INDUSTRIA,GRANDE,2014,24900000.0,23073000.0,20466770.0,18965052.0,6.0,6.0,60.0,34354.0
ES,INDUSTRIA,MEDIA,2005,7944000.0,7965410.0,10630288.0,10658951.0,3.5,12.0,12.0,26558.0
ES,INDUSTRIA,MEDIA,2018,10000000.0,10016855.0,6793653.0,6805104.0,5.07,12.0,48.0,36069.0
ES,INFRAESTRUTURA,GRANDE,2002,221558371.1,228705753.6,459603436.0,474430054.0,2.75,19.7,69.5,
ES,INFRAESTRUTURA,GRANDE,2003,42714463.2,46512713.7,65321918.0,71130466.0,1.0,9.0,24.0,
ES,INFRAESTRUTURA,GRANDE,2004,14392336.0,10416459.6,20346098.0,14725498.0,3.5,24.0,72.0,
ES,INFRAESTRUTURA,GRANDE,2005,901000000.0,908997739.5,1211710061.0,1222481955.0,3.35,26.0,42.5,
ES,INFRAESTRUTURA,GRANDE,2006,282712600.0,286015344.4,378591513.0,383018398.0,3.72,28.8,128.0,
ES,INFRAESTRUTURA,GRANDE,2007,50965164.0,48611021.5,61229311.0,58401055.0,2.87,12.0,80.0,
ES,INFRAESTRUTURA,GRANDE,2008,148544917.0,125746168.0,169960565.0,144129806.0,2.09,36.0,120.0,
ES,INFRAESTRUTURA,GRANDE,2009,725343262.4,658377297.1,806777823.0,732244689.0,3.22,24.8,118.7,
ES,INFRAESTRUTURA,GRANDE,2010,177168891.0,154044977.0,186623115.0,162265244.0,3.11,22.3,112.3,
ES,INFRAESTRUTURA,GRANDE,2011,90432461.0,41817766.9,85973878.0,39758281.0,2.14,18.2,72.0,
ES,INFRAESTRUTURA,GRANDE,2014,260198000.0,249592720.0,209897334.0,201342233.0,3.02,19.0,76.8,
ES,INFRAESTRUTURA,GRANDE,2017,354078000.0,174101000.0,246280009.0,121096469.0,2.96,13.3,50.0,
ES,INFRAESTRUTURA,GRANDE,2018,404898593.0,120981516.8,257057974.0,76457730.0,2.33,39.0,195.0,
ES,INFRAESTRUTURA,GRANDE,2020,350000000.0,13124859.2,202551275.0,7595591.0,3.76,61.0,227.0,
ES,INFRAESTRUTURA,MEDIA,2002,7783057.4,7790447.1,16145271.0,16160600.0,1.0,16.3,38.7,
ES,INFRAESTRUTURA,MEDIA,2012,57162600.0,57042698.6,53057624.0,52946334.0,2.51,48.0,102.0,
ES,INFRAESTRUTURA,MEDIA,2020,20580500.0,19551475.0,11440087.0,10868082.0,1.61,9.0,192.0,
GO,AGROPECUARIA,GRANDE,2007,13190000.0,13238144.6,16989672.0,17051685.0,2.78,84.0,84.0,3621.0
GO,AGROPECUARIA,GRANDE,2010,29464800.0,29395173.0,31914707.0,31839291.0,3.19,24.0,56.0,9465.0
GO,AGROPECUARIA,GRANDE,2013,63560000.0,63560000.0,55545244.0,55545244.0,3.64,18.0,54.0,8868.0
GO,AGROPECUARIA,GRANDE,2020,46501457.4,46501457.4,25704218.0,25704218.0,2.26,36.0,156.0,
GO,AGROPECUARIA,MEDIA,2002,15159610.0,16151360.7,27503687.0,29302994.0,4.5,18.0,60.0,3879.0
GO,INDUSTRIA,GRANDE,2002,8603000.0,8740656.8,17758643.0,18043582.0,4.33,10.0,52.0,30307.0
GO,INDUSTRIA,GRANDE,2003,19351572.0,18443128.6,29921580.0,28516937.0,3.55,6.0,72.0,34220.0
GO,INDUSTRIA,GRANDE,2004,79655109.1,81210485.1,114079541.0,116307101.0,6.42,18.0,62.0,41581.0
GO,INDUSTRIA,GRANDE,2005,376651706.0,369891843.4,507014372.0,498057551.0,3.08,15.1,59.6,47610.0
GO,INDUSTRIA,GRANDE,2006,391481168.2,390215267.2,517814870.0,516159174.0,2.51,23.0,64.6,54859.0
GO,INDUSTRIA,GRANDE,2007,1194858300.0,1059218291.0,1483959860.0,1317209806.0,2.86,23.5,81.5,63789.0
GO,INDUSTRIA,GRANDE,2008,2303545419.4,2214212497.9,2552376240.0,2453128987.0,3.57,12.8,80.5,66268.0
GO,INDUSTRIA,GRANDE,2009,1598888729.0,1579028153.8,1763519700.0,1741119427.0,3.59,38.9,95.5,67378.0
GO,INDUSTRIA,GRANDE,2010,416253248.0,392631247.9,454472295.0,428366832.0,3.97,17.6,58.0,76209.0
GO,INDUSTRIA,GRANDE,2011,351966213.0,287372862.8,334887243.0,273503778.0,2.76,24.0,69.8,87475.0
GO,INDUSTRIA,GRANDE,2012,340983756.0,223750567.2,305645643.0,201532548.0,4.51,25.0,57.1,92252.0
GO,INDUSTRIA,GRANDE,2013,164066301.2,163749472.6,140018570.0,139757286.0,3.27,14.7,49.3,100166.0
